;Model;co2
10055;Golf Alltrack;354.0
10056;i3 with Range Extender;22.0
10057;i3s with Range Extender;22.0
10058;Corolla;267.0
10059;Soul;309.0
10060;Sportage FWD;392.0
10061;Sportage AWD;421.0
10062;XE AWD 30t;354.0
10063;XF AWD;333.0
10064;XF Sportbrake AWD;370.0
10065;E-Pace;371.0
10066;AMG GT 53 4matic Plus;425.0
10067;3 4-Door;312.0
10068;Panamera Turbo Executive;420.0
10069;Arteon 4motion;393.0
10070;Evoque;394.0
10071;Panamera 4 e-Hybrid;255.0
10072;Renegade 4WD;348.0
10073;Renegade Trailhawk 4WD;370.0
10074;230i xDrive Convertible;361.0
10075;430i Convertible;327.0
10076;440i Convertible;361.0
10077;M4 Convertible;481.0
10078;EXP;317.39
10079;440i xDrive Coupe;412.0
10080;M4 Coupe;440.0
10081;911 Turbo S Exclusive Cabriolet;478.0
10082;3 5-Door 4WD;328.0
10083;Civic CRX;317.39
10084;Panamera 4 Executive;407.0
10085;Z4 M40i;334.0
10086;370Z;406.0
10087;370Z;445.0
10088;G70 RWD;357.0
10089;Veloster;296.0
10090;Vantage V8;435.0
10091;240 DL/GL/turbo;444.35
10092;DB11 V12;497.0
10093;Elantra;250.0
10094;RDX FWD;370.0
10095;Model S Performance (21in Wheels);0.0
10096;Kona AWD;324.0
10097;TT RS;388.0
10098;Malibu;344.0
10099;Ascent;386.0
10100;Ascent Limited/Touring;401.0
10101;A4 allroad quattro;356.0
10102;Envision AWD;402.0
10103;Tucson AWD;387.0
10104;Range Rover Velar P380;439.0
10105;RC F;459.0
10106;G80 RWD;474.0
10107;Optima;292.0
10108;Optima;371.0
10109;560SL;634.79
10110;Santa Fe FWD;399.0
10111;NX 300;358.0
10112;Kallista;444.35
10113;Outlander 4WD;341.0
10114;Prius Prime;78.0
10115;V60 FWD;322.0
10116;Equinox FWD;350.0
10117;Terrain FWD;325.0
10118;Equinox AWD;367.0
10119;Model S Standard Range;0.0
10120;AMG GT Roadster;488.0
10121;Fiero;493.72
10122;Trax AWD;344.0
10123;QX60 AWD;410.0
10124;BRZ tS;384.0
10125;Camaro;353.0
10126;WRX;382.0
10127;WRX;422.0
10128;Regal;343.0
10129;Elantra GT;352.0
10130;MR2;370.29
10131;Suburban C1500 2WD;505.0
10132;Tahoe C1500 2WD;505.0
10133;Yukon C1500 2WD;505.0
10134;Yukon C1500 XL 2WD;505.0
10135;Escalade 4WD;537.0
10136;Tahoe K1500 4WD;513.0
10137;Suburban K1500 4WD;543.0
10138;Yukon K1500 4WD;513.0
10139;MR2;355.48
10140;A6 quattro;329.0
10141;Sorento AWD;389.0
10142;Suburban C1500 2WD;517.0
10143;Sprint Metro;189.09
10144;GT-R;482.0
10145;G90 AWD;500.0
10146;G90 RWD;485.0
10147;Colorado 2WD;406.0
10148;Colorado 4WD;461.0
10149;Colorado 4WD;428.0
10150;Canyon 4WD;428.0
10151;Suburban K1500 4WD;547.0
10152;Z4 sDrive30i;324.0
10153;F-Type SVR AWD Convertible;481.0
10154;500 L;356.0
10155;1500 2WD;467.0
10156;1500 HFE 2WD;394.0
10157;Cherokee FWD;352.0
10158;MDX AWD A-SPEC;415.0
10159;X4 M;546.0
10160;Wrangler Unlimited 4WD;444.0
10161;911 Turbo;522.76
10162;GLE350;397.0
10163;Macan;426.0
10164;924 S;467.74
10165;840i xDrive Coupe;380.0
10166;840i Convertible;361.0
10167;5000S;522.76
10168;M850i xDrive Coupe;435.0
10169;M850i xDrive Convertible;450.0
10170;Cooper S Hardtop 2 door;297.0
10171;CLS450;334.0
10172;RLX Hybrid;316.0
10173;M550i xDrive;435.0
10174;840i Gran Coupe;361.0
10175;Ghibli S;460.0
10176;Cooper S Clubman;304.0
10177;944;444.35
10178;Impala;411.0
10179;Civic 5Dr;279.0
10180;Pilot FWD;405.0
10181;Wrangler Unlimited 4WD;423.0
10182;Forsa Turbo;261.38
10183;Grand Cherokee 2WD;414.0
10184;X7 xDrive50i;511.0
10185;Discovery;500.0
10186;Discovery;448.0
10187;Levante;521.0
10188;Levante GTS;580.0
10189;E450 Coupe;388.0
10190;E450 4matic Convertible;408.0
10191;Fusion AWD;384.0
10192;MKZ FWD;373.0
10193;Avalon Hybrid XLE;201.0
10194;Silverado 2WD;524.0
10195;Sierra 2WD;392.0
10196;Sierra 2WD;524.0
10197;Silverado 4WD;516.0
10198;Integra;355.48
10199;Silverado 4WD;442.0
10200;Sierra 4WD;479.0
10201;Sierra 4WD;442.0
10202;Sierra 4WD;442.0
10203;Milano;493.72
10204;Sierra Cab Chassis 4WD;594.0
10205;GLC300;366.0
10206;Compass 4WD;358.0
10207;Compass 4WD;355.0
10208;Civic 4Dr;294.0
10209;Saloon/Vantage/Volante;987.44
10210;Pacifica;401.0
10211;Odyssey;394.0
10212;Fusion Energi Plug-in Hybrid;99.0
10213;Saloon/Vantage/Volante;987.44
10214;C300 Coupe;351.0
10215;80/90;403.95
10216;Panamera 4S;419.0
10217;Metris (Passenger Van);413.0
10218;Metris (Cargo Van);398.0
10219;4Runner 2WD;503.0
10220;80/90 quattro;493.72
10221;Pacifica Hybrid;119.0
10222;V60 AWD PHEV;155.0
10223;86;328.0
10224;3 Series;493.72
10225;Mustang Convertible;386.0
10226;Blazer FWD;414.0
10227;Blazer AWD;433.0
10228;Discovery Sport;427.0
10229;3 Series;493.72
10230;RX 350 L AWD;432.0
10231;RX 450h L AWD;305.0
10232;LX 570;636.0
10233;M8 Competition Coupe;518.0
10234;Yaris;264.0
10235;Firefly;211.6
10236;M5;518.0
10237;3 Series;467.74
10238;Camry XSE;345.0
10239;Camry XLE/XSE;284.0
10240;Ghost;637.0
10241;Tacoma 4WD;481.0
10242;X7 xDrive40i;409.0
10243;Urus;617.0
10244;911 Carrera 4S Cabriolet;445.0
10245;Corsair AWD;372.0
10246;X6 sDrive40i;390.0
10247;e6;0.0
10248;Kona Electric;0.0
10249;AMG GT R Coupe;526.0
10250;IS 350 AWD;422.0
10251;Camaro;493.72
10252;LS 500;389.0
10253;Accord Hybrid;185.0
10254;S209;518.0
10255;Civic 2Dr;264.0
10256;C-HR;305.0
10257;Giulia;330.0
10258;Civic 4Dr;266.0
10259;Civic 4Dr;300.0
10260;Civic 4Dr;276.0
10261;1500 4WD;418.0
10262;Aventador Coupe;787.0
10263;F150 Pickup 2WD FFV;409.0
10264;F150 2WD FFV BASE PAYLOAD LT;494.0
10265;F150 Pickup 2WD;402.0
10266;F150 Pickup 4WD FFV;506.0
10267;Sprint;261.38
10268;GLB250;344.0
10269;GLB250 4matic;338.0
10270;AMG S63 4matic Plus Coupe;437.0
10271;Century;467.74
10272;AMG GLC63 4matic Plus;489.0
10273;AMG GLC63 4matic Plus Coupe;489.0
10274;AMG C63 Convertible;452.0
10275;LeBaron Convertible;444.35
10276;S4;393.0
10277;UX 250h;209.0
10278;Mirage;228.0
10279;GTI;327.0
10280;S7;410.0
10281;UX 200;271.0
10282;A8 L;495.0
10283;Ioniq;163.0
10284;Sonata;293.0
10285;LeBaron Convertible;386.39
10286;Continental  AWD;462.0
10287;Model 3 Standard Range;0.0
10288;Pulsar NX;341.81
10289;Model 3 Long Range Performance AWD (20in);0.0
10290;Model X Performance (22in Wheels);0.0
10291;Model X Standard Range;0.0
10292;Ioniq Plug-in Hybrid;74.0
10293;Revero GT (21-inch wheels);70.0
10294;RUFTURBO12/CTR3/CTR2017;497.0
10295;CR-V AWD;305.0
10296;QX80 4WD;579.0
10297;RS3;392.0
10298;Niro;183.0
10299;RC 350;388.0
10300;RC 300;363.0
10301;Challenger SRT;546.0
10302;Challenger SRT;567.0
10303;Challenger;500.0
10304;Charger Widebody;500.0
10305;Ranger 4WD;404.0
10306;Ranger 2WD Incomplete;485.0
10307;CX-9 4WD;391.0
10308;Acadia AWD;374.0
10309;GLE580 4matic;470.0
10310;A5 quattro;329.0
10311;A5 Cabriolet quattro;337.0
10312;200SX;467.74
10313;Range Rover PHEV;260.0
10314;Range Rover Sport PHEV;260.0
10315;Highlander AWD;387.0
10316;GT;632.0
10317;SLC300;332.0
10318;Stage 3 Mustang;618.0
10319;Charger;466.0
10320;AMG S65;574.0
10321;1500 Classic 2WD;513.0
10322;Ridgeline AWD;433.0
10323;Continental GT Convertible;601.0
10324;911 Carrera 4 Cabriolet;443.0
10325;Continental GT;586.0
10326;Grand Caravan;445.0
10327;CX-30 4WD;334.0
10328;Jetta;263.0
10329;Jetta;262.0
10330;MX-5;305.0
10331;Encore GX FWD;318.0
10332;X6 M;582.0
10333;2;264.0
10334;Daytona;423.19
10335;Titan 2WD;490.0
10336;Atlas Cross Sport 4motion;480.0
10337;Atlas 4motion;480.0
10338;M235i xDrive;335.0
10339;CT4 AWD;343.0
10340;CT4;327.0
10341;CT5;412.0
10342;CT5 V;412.0
10343;Highlander Hybrid AWD LTD/PLAT;251.0
10344;F-Type S Coupe;407.0
10345;F-Type S Convertible;407.0
10346;Atlas;461.0
10347;Cayenne S Coupe;460.0
10348;Soul;332.0
10349;Regal;493.72
10350;Mustang;370.29
10351;Niro Electric;0.0
10352;F150 2WD BASE PAYLOAD LT TIRE;424.0
10353;F150 Pickup 4WD XL/XLT;430.0
10354;Trailblazer FWD;302.0
10355;Cooper S Convertible;307.0
10356;Cooper S Convertible;336.0
10357;Cooper Hardtop 4 door;280.0
10358;Cooper S Hardtop 4 door;329.0
10359;John Cooper Works GP;334.0
10360;Insight Touring;184.0
10361;Veloster;296.0
10362;Colorado ZR2 4WD;510.0
10363;Canyon 4WD;431.0
10364;Atlas 4motion;412.0
10365;SQ8;518.0
10366;Leaf SV/SL (62 kW-hr battery pack);0.0
10367;Civic;277.72
10368;Q7;425.0
10369;i3 with Range Extender;22.0
10370;Pilot FWD;388.0
10371;Mulsanne;749.0
10372;Corolla;267.0
10373;Corolla;271.0
10374;Corolla;277.0
10375;LC 500;473.0
10376;Kona AWD;326.0
10377;Sportage AWD;390.0
10378;Palisade AWD;426.0
10379;Frontier 2WD;445.0
10380;Yukon XL 2WD;492.0
10381;Yukon XL 4WD;558.0
10382;Prelude;403.95
10383;Trax AWD;344.0
10384;745e xDrive;245.0
10385;720S Coupe;513.0
10386;AMG CLA45 4matic;382.0
10387;Defender 110;492.0
10388;V90 FWD;339.0
10389;Encore GX AWD;330.0
10390;XC60 AWD;375.0
10391;XC40 AWD;359.0
10392;Range Rover Sport;412.0
10393;AMG GLE53 4matic Plus Coupe;440.0
10394;650S Can-Am;499.0
10395;Cooper Convertible;292.0
10396;Impreza Sport 5-Door;351.0
10397;Impreza Sport 5-Door;292.0
10398;Cayman S;423.0
10399;Cayman S;410.0
10400;Cayman T;394.0
10401;1;93.0
10402;Corolla Hatchback;251.0
10403;740i xDrive;387.0
10404;Colorado ZR2 4WD;525.0
10405;Canyon 4WD;455.0
10406;QX80 2WD;554.0
10407;GLC350e 4matic;176.0
10408;812 Superfast;661.0
10409;Huracan Spyder;597.0
10410;Huracan 2WD;596.0
10411;Huracan Spyder 2WD;596.0
10412;Portofino M;471.0
10413;Stinger AWD;368.0
10414;Sonata Hybrid;189.0
10415;Forester AWD;309.0
10416;Regal;442.61
10417;190E 2.6;467.74
10418;Model Y Performance AWD (21in Wheels);0.0
10419;Cooper S Countryman;321.0
10420;Cooper S Countryman All4;341.0
10421;JCW Countryman All4;343.0
10422;Wraith;624.0
10423;Wraith Black Badge;624.0
10424;G90 AWD;460.0
10425;G90 AWD;488.0
10426;Phantom;615.0
10427;Legacy AWD;330.0
10428;Compass FWD;350.0
10429;X6 sDrive40i;383.0
10430;X5 xDrive40i;389.0
10431;X6 M;586.0
10432;X6 M Competition;586.0
10433;M240i Convertible;366.0
10434;Mirage;296.23
10435;Camaro;571.0
10436;Mirage;403.95
10437;Acadia FWD;349.0
10438;Acadia AWD;362.0
10439;840i Coupe;347.0
10440;840i xDrive Convertible;387.0
10441;530i xDrive;330.0
10442;Avalon;352.0
10443;Avalon AWD;315.0
10444;Starion;493.72
10445;Gladiator 4WD;466.0
10446;Wrangler Rubic 4dr EcoDiesel 4WD;442.0
10447;RAV4 AWD;301.0
10448;RX 450h L AWD;305.0
10449;4Runner 4WD;515.0
10450;4Runner 4WD;515.0
10451;V60 AWD PHEV;155.0
10452;GR Supra;321.0
10453;DB11 V12;497.0
10454;S4;380.0
10455;Riviera;522.76
10456;Tundra 2WD;601.0
10457;Tundra 4WD;635.0
10458;Tiguan;353.0
10459;A8 L;213.0
10460;430i Coupe;304.0
10461;A220 4matic;316.0
10462;3 4-Door 2WD;287.0
10463;3 4-Door 2WD;299.0
10464;Elantra;257.0
10465;3 5-Door 2WD;304.0
10466;Firebird/Trans Am;493.72
10467;Cherokee FWD;387.0
10468;Cherokee 4WD Active Drive II;387.0
10469;Firebird/Trans Am;522.76
10470;Silverado 4WD;493.0
10471;Silverado 4WD;563.0
10472;Silverado 4WD;482.0
10473;Silverado 4WD TrailBoss;560.0
10474;Sierra 4WD;504.0
10475;Silverado Cab Chassis 4WD;593.0
10476;Sierra Cab Chassis 4WD;593.0
10477;RX 350;391.0
10478;Highlander;372.0
10479;Highlander Hybrid AWD;254.0
10480;XC60 AWD PHEV;196.0
10481;Passport FWD;407.0
10482;Sunbird Convertible;355.48
10483;Sunburst;317.39
10484;Huayra Roadster BC;707.0
10485;Continental GT Convertible;601.0
10486;A6 quattro;341.0
10487;Ghibli;446.0
10488;Silverado 2WD;423.0
10489;Sierra 2WD;523.0
10490;Sierra 4WD;464.0
10491;Riviera;484.76
10492;Traverse AWD;439.0
10493;Aviator PHEV AWD;209.0
10494;718 Cayman;375.0
10495;900 Convertible;423.19
10496;718 Boxster S;423.0
10497;RC 350;385.0
10498;RC F;459.0
10499;TLX AWD;369.0
10500;TLX FWD A-SPEC;357.0
10501;Hatchback;355.48
10502;CLS450;347.0
10503;Arteon 4motion;370.0
10504;XT5 Hearse FWD;425.0
10505;Transit Connect Van FWD;350.0
10506;Transit Connect Van FFV;350.0
10507;Transit Connect Wagon LWB FWD;344.0
10508;Sorento FWD;342.0
10509;GLC300;360.0
10510;Q5;349.0
10511;Q3 quattro;350.0
10512;Sorento AWD;375.0
10513;SF90 Stradale Coupe;403.0
10514;Corolla APEX;264.0
10515;Camry XSE;345.0
10516;XT 4WD;467.74
10517;HR-V FWD;292.0
10518;Sierra 4WD;475.0
10519;Corsair FWD;361.0
10520;Corsair AWD;369.0
10521;Durango RWD;525.0
10522;TT Coupe quattro;344.0
10523;TT RS;373.0
10524;Q60 Red Sport;405.0
10525;Q60 Red Sport AWD;423.0
10526;Q60 AWD;403.0
10527;A4 quattro;311.0
10528;IS 300;357.0
10529;AMG CLS53 4matic Plus;389.0
10530;Celica;355.48
10531;Celica;467.74
10532;Accord;268.0
10533;500X AWD;356.0
10534;Rogue AWD;310.0
10535;Celica;403.95
10536;Altima;281.0
10537;Equinox AWD;330.0
10538;Durango SRT AWD;584.0
10539;Model Y Long Range AWD;0.0
10540;TURBO12/CTR3/CTR ANNIVERSARY;497.0
10541;Soul Electric;0.0
10542;Continental GT;468.0
10543;Corolla;370.29
10544;911 Turbo Cabriolet;521.0
10545;Challenger;389.0
10546;Challenger;494.0
10547;Corolla FX;306.45
10548;Challenger SRT;567.0
10549;Challenger SRT Widebody;575.0
10550;Elantra;318.0
10551;F150 Pickup 2WD;406.0
10552;F150 Pickup 4WD FFV;479.0
10553;CR-V FWD;294.0
10554;Outlander Sport 2WD;331.0
10555;Outlander Sport 2WD;354.0
10556;Outlander Sport 4WD;344.0
10557;Aventador Roadster;839.0
10558;TTS Coupe;354.0
10559;LS 500;399.0
10560;Escalade 2WD;437.0
10561;Yukon 2WD;437.0
10562;Yukon XL 2WD;437.0
10563;911 Carrera Cabriolet;443.0
10564;911 Carrera S;441.0
10565;911 Carrera 4S Cabriolet;452.0
10566;911 Targa 4S;447.0
10567;Tercel;306.45
10568;AMG C63 S Coupe;440.0
10569;AMG C43 4matic Coupe;409.0
10570;S560 Convertible;454.0
10571;Tercel;306.45
10572;AMG C63 S;433.0
10573;S560 4matic Coupe;454.0
10574;AMG S63 4matic Plus Coupe;471.0
10575;Sentra SR;283.0
10576;Ranger 4WD;404.0
10577;Discovery Sport;437.0
10578;GLE580 4matic;465.0
10579;ID.4 1st;0.0
10580;M4 Coupe;472.0
10581;M4 Competition Coupe;470.0
10582;M3 Competition;470.0
10583;Scirocco 16v;403.95
10584;AMG GLA45 4matic;392.0
10585;Trax FWD;325.0
10586;718 Spyder;436.0
10587;Navigator 2WD;486.0
10588;Expedition MAX 4WD;494.0
10589;Mustang Mach-E AWD Extended;0.0
10590;Legend;467.74
10591;Ranger 2WD Incomplete;486.0
10592;Metris (Passenger Van);457.0
10593;MX-5;299.0
10594;Niro FE;179.0
10595;Defender 90;466.0
10596;Tucson FWD;363.0
10597;Escape AWD HEV;224.0
10598;F-Pace P340 MHEV;402.0
10599;5 Series;467.74
10600;Grand Cherokee Trackhawk 4WD;664.0
10601;Leaf (40 kW-hr battery pack);0.0
10602;Mustang;373.0
10603;Mustang HO Coupe;386.0
10604;Mustang;490.0
10605;5 Series;522.76
10606;Taycan 4S Perf Battery Plus;0.0
10607;Niro Plug-in Hybrid;90.0
10608;Crosstrek Hybrid AWD;151.0
10609;Armada 2WD;558.0
10610;Armada 4WD;594.0
10611;Odyssey;394.0
10612;Celebrity;370.29
10613;Tucson FWD;314.0
10614;Eclipse Cross 4WD;347.0
10615;Nautilus FWD;384.0
10616;Nautilus AWD;423.0
10617;Nautilus AWD;404.0
10618;Skyhawk;341.81
10619;1500 HFE 2WD;384.0
10620;Panamera 4S;445.0
10621;Panamera GTS;520.0
10622;530e xDrive;203.0
10623;LS 500h AWD;343.0
10624;Outlander 2WD;328.0
10625;Grand Cherokee L 4WD;428.0
10626;Kona FWD;284.0
10627;Kona FWD;281.0
10628;Skylark;370.29
10629;Cayenne e-Hybrid Coupe;257.0
10630;Skylark;444.35
10631;Cooper Convertible;284.0
10632;M8 Competition Coupe;522.0
10633;Cooper Hardtop 2 door;284.0
10634;Cooper S Hardtop 2 door;331.0
10635;Cooper Countryman All4;340.0
10636;Celebrity;370.29
10637;Wrangler 4dr 4xe;230.0
10638;Trax FWD;329.0
10639;Encore AWD;342.0
10640;840i xDrive Coupe;388.0
10641;X2 sDrive28i;330.0
10642;Cooper S Clubman;304.0
10643;JCW Countryman All4;343.0
10644;740i xDrive Sedan;388.0
10645;G90 RWD;481.0
10646;Legacy AWD;295.0
10647;Encore GX FWD;296.0
10648;Trailblazer FWD;296.0
10649;Seltos AWD;331.0
10650;Seltos AWD;314.0
10651;Outback AWD;308.0
10652;Sierra 4WD AT4;551.0
10653;Ioniq Electric;0.0
10654;Dawn Black Badge;637.0
10655;Ghost Black Badge;637.0
10656;Corsica;370.29
10657;Taos;286.0
10658;Taos 4motion;323.0
10659;Range Rover Sport;474.0
10660;Panamera 4S e-Hybrid Executive;236.0
10661;Spark ACTIV;266.0
10662;Transit Connect Van FFV;355.0
10663;Discovery;436.0
10664;Defender 90;466.0
10665;Pathfinder 2WD;386.0
10666;Discovery MHEV;435.0
10667;Sonata Hybrid;189.0
10668;Palisade AWD;426.0
10669;Grand Cherokee L 4WD;533.0
10670;Sonata;282.0
10671;Terrain FWD;330.0
10672;Bronco 4WD;424.0
10673;Bronco 4WD;426.0
10674;Bronco Badlands 4WD;533.0
10675;Bronco Black Diamond 4WD;494.0
10676;Blazer FWD;405.0
10677;XT5 AWD;386.0
10678;Acadia FWD;405.0
10679;Silverado 4WD;522.0
10680;Tahoe 2WD;544.0
10681;Yukon 2WD;544.0
10682;Suburban 4WD;570.0
10683;Yukon XL 4WD;570.0
10684;F-Type R AWD Coupe;481.0
10685;Impreza Sport 4-Door;291.0
10686;Impreza 5-Door;335.0
10687;Corolla;267.0
10688;XT5 Limo AWD;425.0
10689;Huracan Spyder RWD;596.0
10690;A5 Coupe quattro;332.0
10691;Continental GT;462.0
10692;Camaro;571.0
10693;Camaro;562.0
10694;S4;363.0
10695;CT4 AWD;348.0
10696;A6 quattro;335.0
10697;CT5;405.0
10698;CT5 V;423.0
10699;RS 6 Avant;514.0
10700;Tiguan R-Line 4motion;369.0
10701;SQ7;522.0
10702;S580 4matic Maybach;469.0
10703;M4 Competition Coupe;470.0
10704;ILX;316.0
10705;Shadow;386.39
10706;330i Sedan;298.0
10707;M3 Competition Sedan;470.0
10708;V60CC T5 AWD;355.0
10709;V90CC B6 AWD;352.0
10710;Atlas;445.0
10711;Regera;610.0
10712;CT4 AWD;375.0
10713;GLI;297.0
10714;GLI;299.0
10715;HR-V FWD;292.0
10716;E-Pace MHEV;394.0
10717;RX 450h L AWD;305.0
10718;Tempo AWD;467.74
10719;A3;273.0
10720;Thunderbird;522.76
10721;Ghibli Trofeo;560.0
10722;Quattroporte Trofeo;560.0
10723;Thunderbird;423.19
10724;Quattroporte Modena RWD;453.0
10725;Ghost;624.0
10726;Ghost Black Badge;624.0
10727;GV80 RWD;394.0
10728;Pilot FWD;388.0
10729;X3 xDrive30i;370.0
10730;X3 M Competition;519.0
10731;X4 M;519.0
10732;Outlander Sport 4WD;353.0
10733;X5 xDrive40i;388.0
10734;X5 M50i;485.0
10735;X6 M50i;485.0
10736;Accord;341.81
10737;X7 M50i;517.0
10738;Levante Modena;495.0
10739;Camry XSE;345.0
10740;Accord;370.29
10741;Colorado 2WD;413.0
10742;Sequoia 4WD;618.0
10743;Tucson Plug-in Hybrid;100.0
10744;Prius Prime;78.0
10745;F150 Pickup Tremor 4WD;498.0
10746;F150 Pickup 4WD FFV;495.0
10747;F150 Pickup Tremor 4WD;503.0
10748;Cougar;423.19
10749;Colorado 4WD;465.0
10750;Colorado ZR2 4WD;525.0
10751;1500 2WD;390.0
10752;1500 2WD;407.0
10753;1500 2WD;514.0
10754;Range Rover P360 MHEV;449.0
10755;Range Rover P400 MHEV;449.0
10756;Armada 4WD;593.0
10757;812 GTS;665.0
10758;911 Carrera 4S;442.0
10759;911 Carrera 4S;443.0
10760;CR-V FWD;294.0
10761;4Runner 4WD;519.0
10762;Cayenne/Coupe E-Hybrid;257.0
10763;Kona Electric;0.0
10764;Niro Electric;0.0
10765;Leaf SV/SL (62 kW-hr battery pack);0.0
10766;F8 Tributo;541.0
10767;812 Competizione;652.0
10768;XR4Ti;444.35
10769;Outlander PHEV;165.0
10770;A220 4matic;312.0
10771;CLA250 4matic;322.0
10772;Elantra N;388.0
10773;UX 200;271.0
10774;Tacoma 4WD;481.0
10775;QX80 2WD;552.0
10776;QX80 4WD;593.0
10777;Aviator AWD;451.0
10778;Air Dream P AWD w/19 inch wheels;0.0
10779;Air Dream R AWD w/19 inch wheels;0.0
10780;911 GT3;571.0
10781;718 Cayman GTS;458.0
10782;718 Cayman S;410.0
10783;718 Boxster T;394.0
10784;Continental GT Speed Convertible;636.0
10785;RC 350;385.0
10786;IS 350;385.0
10787;IS 300;356.0
10788;Civic 5Dr;267.0
10789;300E;493.72
10790;Accord Sport/Touring;345.0
10791;Panamera GTS ST;520.0
10792;Sierra 4WD;427.0
10793;Crosstrek AWD;302.0
10794;720S Coupe;505.0
10795;TLX FWD A-SPEC;357.0
10796;TLX Type-S;420.0
10797;Silverado 2WD;555.0
10798;Silverado Mud Terrain Tires 4WD;610.0
10799;Silverado 4WD;545.0
10800;Pacifica AWD;450.0
10801;Highlander;372.0
10802;Yukon XL 4WD;569.0
10803;Yukon XL 4WD;568.0
10804;Cayenne GTS;533.0
10805;Cayenne GTS Coupe;525.0
10806;Highlander Hybrid AWD;254.0
10807;Elva;501.0
10808;XF P250 AWD;336.0
10809;XF P300 AWD;352.0
10810;Edge AWD;380.0
10811;505 Sedan;467.74
10812;Pilot AWD TrailSport;419.0
10813;Range Rover Velar;393.0
10814;Nautilus AWD;404.0
10815;Nautilus AWD;423.0
10816;GLC300 4matic;374.0
10817;505 Sedan;467.74
10818;Taycan 4 Cross Turismo;0.0
10819;Taycan Turbo S Cross Turismo;0.0
10820;Sierra 2WD;441.0
10821;Silverado 4WD;529.0
10822;Silverado 4WD;521.0
10823;Sierra 4WD;523.0
10824;Sierra 4WD;529.0
10825;Jetta SE/SEL;268.0
10826;Jetta;256.0
10827;1500 Classic 2WD;519.0
10828;RDX FWD;370.0
10829;RDX AWD;385.0
10830;RDX AWD A-SPEC;388.0
10831;Macan;424.0
10832;Grand Cherokee L 4WD;430.0
10833;Q4 e-tron Sportback quattro;0.0
10834;MX-30;0.0
10835;EQS 450 Plus;0.0
10836;Taycan Perf Battery;0.0
10837;Taycan Perf Battery Plus;0.0
10838;AMG GT 53 4matic Plus;415.0
10839;Altima SR;290.0
10840;Sundance;423.19
10841;Escape AWD HEV;224.0
10842;Explorer HEV AWD;361.0
10843;Explorer AWD;445.0
10844;Sundance;386.39
10845;Panamera Turbo S E-Hybrid/Exec/ST;274.0
10846;AMG GT 43 4matic Plus;415.0
10847;Explorer Platinum HEV RWD;342.0
10848;F-Type Coupe;346.0
10849;F-Type Convertible;346.0
10850;XE P300 AWD;354.0
10851;F-Pace;365.0
10852;C300 4matic Convertible;361.0
10853;Civic 4Dr;285.0
10854;AMG GLB35 4matic;396.0
10855;Murano FWD;387.0
10856;GLB250 4matic;361.0
10857;C300 Convertible;373.0
10858;LS 500 AWD;432.0
10859;F150 Pickup 2WD FFV;423.0
10860;F150 Pickup 4WD;467.0
10861;Grand Am;370.29
10862;Tundra 2WD;440.0
10863;Tundra 2WD;441.0
10864;Gladiator Rubic EcoDiesel 4WD;436.0
10865;Citation II;493.72
10866;Passport AWD;416.0
10867;Wrangler 2dr 4WD;388.0
10868;Lemans;306.45
10869;Wrangler 4dr 4WD;459.0
10870;Ioniq 5 AWD (Long Range);0.0
10871;C40 Recharge twin;0.0
10872;Q5 quattro;349.0
10873;Rogue AWD SL/Platinum;288.0
10874;DBX V8;556.0
10875;Metris (Passenger Van);453.0
10876;Metris (US Postal);410.0
10877;Tahoe 2WD;527.0
10878;Explorer RWD;386.0
10879;Yukon 2WD;527.0
10880;Suburban 4WD;554.0
10881;Suburban 4WD;555.0
10882;Explorer Timberline AWD;433.0
10883;Explorer AWD;404.0
10884;900;493.72
10885;RAV4;292.0
10886;Bronco 4WD;439.0
10887;Bronco Black Diamond 4WD;494.0
10888;Bronco Badlands 4WD;538.0
10889;RAV4 AWD;319.0
10890;RAV4 AWD;301.0
10891;Model 3 Performance AWD;0.0
10892;Model Y Performance AWD;0.0
10893;900;423.19
10894;Model X;0.0
10895;Model X Plaid (20 inch wheels);0.0
10896;Aventador Countach;787.0
10897;3 4-Door 4WD;320.0
10898;3 5-Door 2WD;323.0
10899;Stelvio;359.0
10900;NSX Hybrid;420.0
10901;Mustang;500.0
10902;Mustang Convertible;386.0
10903;Mustang Convertible;497.0
10904;WRX;407.0
10905;Sedan/3 Door;355.48
10906;Challenger SRT;567.0
10907;Challenger Widebody;495.0
10908;Challenger Widebody;523.0
10909;Charger;466.0
10910;Charger Widebody;495.0
10911;AMG GLA45 4matic;409.0
10912;Cherokee FWD;345.0
10913;Sedan/3Door 4WD Turbo;444.35
10914;Cherokee 4WD;400.0
10915;Durango SRT AWD;584.0
10916;Defender 90;465.0
10917;Camry;370.29
10918;Discovery MHEV;415.0
10919;Defender 110;492.0
10920;Camry;355.48
10921;Maverick HEV FWD;237.0
10922;Titan 4WD;505.0
10923;Titan 4WD PRO4X;517.0
10924;CX-30 4WD;353.0
10925;911 Carrera 4 GTS Cabriolet;477.0
10926;Arteon;318.0
10927;i4 M50 Gran Coupe (19 inch wheels);0.0
10928;i4 M50 Gran Coupe (20 inch wheels);0.0
10929;i4 eDrive40 Gran Coupe (19 inch wheels);0.0
10930;Mustang Mach-E CAL RT 1 ER AWD;0.0
10931;Mustang Mach-E GT;0.0
10932;Mustang Mach-E GT Performance;0.0
