;Model;co2
219;Charger SRT;486.0
220;Juke;307.0
221;Impreza 5-Door;282.0
222;Metris (Passenger Van);413.0
223;IS 300 AWD;415.0
224;IS 200t;345.0
225;Edge FWD;370.0
226;Q70;464.0
227;Q70 Hybrid;296.0
228;Q70;433.0
229;Canyon 2WD;408.0
230;MKX FWD;444.0
231;Rogue AWD;326.0
232;Optima Plug-in Hybrid;97.0
233;Challenger SRT;523.0
234;MKT FWD;468.0
235;MKT AWD;523.0
236;Highlander AWD;405.0
237;Highlander Hybrid AWD;311.0
238;328d;285.0
239;Ioniq Electric;0.0
240;911 Carrera 4 GTS Cabriolet;402.0
241;Spark ACTIV;278.0
242;300 AWD;415.0
243;Pilot FWD;388.0
244;Truck 4WD;493.72
245;Pilot AWD;407.0
246;CR-V AWD;328.0
247;GLC300 4matic Coupe;375.0
248;fortwo coupe;248.0
249;Fiesta FWD;286.0
250;Fiesta SFE FWD;254.0
251;Truck 4WD;467.74
252;Focus FWD;264.0
253;Focus FWD;303.0
254;Focus FWD FFV;289.0
255;Truck 4WD;493.72
256;Taurus AWD;467.0
257;Niro;183.0
258;Quest;396.0
259;Pacifica Hybrid;106.0
260;Niro Touring;207.0
261;Focus Electric;0.0
262;C-MAX Energi Plug-In Hybrid;122.0
263;Rogue Hybrid  FWD;261.0
264;Rogue Hybrid  AWD;276.0
265;4Runner 4WD;491.0
266;Sentra Nismo;330.0
267;Golf SportWagen 4motion;347.0
268;Model S AWD - 60D;0.0
269;Model S AWD - 75D;0.0
270;Model S AWD - P100D;0.0
271;Impreza 4-Door;331.0
272;Astro 2WD (cargo);423.19
273;Impreza 5-Door;335.0
274;New Compass 2WD;350.0
275;Cooper S Countryman All4;346.0
276;F150 Pickup 4WD;699.0
277;CX-5 2WD;328.0
278;MDX Hybrid AWD;329.0
279;A5 Cabriolet quattro;327.0
280;A5 Sportback quattro;327.0
281;G80 AWD;445.0
282;S5;374.0
283;G80 AWD;453.0
284;Bentayga;596.0
285;Panamera 4S;378.0
286;Panamera Turbo Executive;420.0
287;Sedan;341.81
288;430i xDrive Convertible;343.0
289;650i xDrive Convertible;463.0
290;430i Coupe;324.0
291;430i Gran Coupe;324.0
292;440i Coupe;352.0
293;440i xDrive Coupe;390.0
294;M6 Gran Coupe;553.0
295;Model S AWD - 100D;0.0
296;WRX;471.0
297;Forester AWD;315.0
298;CT6 Plug-In;144.0
299;F-Type Convertible;390.0
300;F-Type S Coupe;485.0
301;XE AWD;383.0
302;F-Pace;446.0
303;488 GTB;495.0
304;LC 500h;301.0
305;C-HR;305.0
306;Elantra;301.0
307;Santa Fe Sport FWD;379.0
308;Van(cargo);493.72
309;Santa Fe Sport AWD;406.0
310;MV-1;563.0
311;812 Superfast;661.0
312;Optima FE;310.0
313;A6;311.0
314;Discovery;448.0
315;B150/B250 Van 2WD;555.44
316;Sportage FWD;392.0
317;Sorento AWD;414.0
318;Sportage FE AWD;400.0
319;Quattroporte V8;517.0
320;Sorento FE AWD;434.0
321;V60 Polestar AWD;393.0
322;RDX FWD;386.0
323;Civic Si 2Dr;279.0
324;A3 Cabriolet;315.0
325;Yaris;271.0
326;Avalon Hybrid;223.0
327;Avalon;366.0
328;B150/B250 Van 2WD;807.91
329;S90 AWD;340.0
330;Elantra GT;327.0
331;V90 AWD;354.0
332;Corvette;541.0
333;Camaro;396.0
334;Camaro;559.0
335;Impala;360.0
336;Impala;409.0
337;G90 RWD;482.0
338;Transit Connect Van FFV;392.0
339;F-Pace;365.0
340;Aventador S Coupe;731.0
341;Aventador Roadster;751.0
342;AMG GT Coupe;486.0
343;Legacy AWD;311.0
344;Legacy AWD;387.0
345;Outback AWD;320.0
346;Aerostar Van;467.74
